mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
fault_battery_alternator_fail_1,0,1789843937.724891,1.2,25.0,25.45,0.0,25.01,0.0003,0.0,12.55,0.03,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,1,1789843938.724891,2.2,25.0,25.06,0.0,25.0,0.0006,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,2,1789843939.724891,1.2,25.0,25.0,0.0,25.0,0.0003,0.0,12.52,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,3,1789843940.724891,0.6,25.0,25.0,0.0,25.0,0.0001,0.0,12.53,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,4,1789843941.724891,0.7,25.0,25.42,0.0,25.0,0.0005,0.0,12.54,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,5,1789843942.724891,1.2,25.0,25.81,0.0,25.01,0.0005,0.0,12.48,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,6,1789843943.724891,2.6,25.0,25.61,0.0,25.01,0.0002,0.01,12.5,0.01,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,7,1789843944.724891,5.1,25.02,25.07,0.01,25.01,0.0005,0.0,12.43,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,8,1789843945.724891,2.7,25.03,25.03,0.01,25.0,0.0014,0.0,12.43,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,9,1789843946.724891,2.6,25.0,25.0,0.01,25.0,0.0009,0.0,12.45,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,10,1789843947.724891,3.0,25.01,25.2,0.0,25.01,0.0006,0.0,12.5,0.0,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,11,1789843948.724891,0.0,25.01,25.0,0.0,25.03,0.0,0.0,12.51,0.01,0.0,0.0,25.0,healthy,0.0
fault_battery_alternator_fail_1,12,1789843949.724891,0.3,25.0,25.0,0.0,25.03,0.0,0.0,12.52,0.01,0.0,0.0,25.0,healthy,0.0
