mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
fault_combustion_instability_1,0,1789843937.552372,2.5,25.0,25.41,0.0,25.01,0.0,0.0,12.58,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,1,1789843938.552372,2.3,25.0,25.03,0.01,25.0,0.0,0.0,12.61,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,2,1789843939.552372,1.1,25.0,25.0,0.0,25.0,0.0,0.0,12.72,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,3,1789843940.552372,1.3,25.0,25.0,0.0,25.0,0.0,0.0,12.8,0.04,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,4,1789843941.552372,2.4,25.0,25.0,0.0,25.0,0.0,0.01,12.79,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,5,1789843942.552372,3.7,25.0,25.0,0.0,25.0,0.0,0.0,12.73,0.02,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,6,1789843943.552372,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.74,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,7,1789843944.552372,0.5,25.0,25.0,0.0,25.0,0.0,0.01,12.8,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,8,1789843945.552372,1.4,25.0,25.0,0.0,25.0,0.0,0.01,12.82,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,9,1789843946.552372,1.8,25.0,25.0,0.0,25.0,0.0002,0.0,12.73,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,10,1789843947.552372,3.1,25.01,25.0,0.0,25.0,0.0,0.0,12.78,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,11,1789843948.552372,1.9,25.01,25.0,0.0,25.0,0.0007,0.0,12.75,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,12,1789843949.552372,2.9,25.0,25.0,0.0,25.0,0.0006,0.01,12.7,0.01,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,13,1789843950.552372,4.0,25.01,25.0,0.0,25.0,0.001,0.02,12.68,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,14,1789843951.552372,3.3,25.0,25.0,0.0,25.0,0.0015,0.01,12.69,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,15,1789843952.552372,0.0,25.02,25.16,0.0,25.0,0.001,0.01,12.62,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,16,1789843953.552372,0.0,25.0,25.0,0.0,25.0,0.0002,0.0,12.64,0.0,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,17,1789843954.552372,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.62,0.01,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,18,1789843955.552372,0.2,25.0,25.0,0.0,25.0,0.0003,0.0,12.71,0.01,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,19,1789843956.552372,0.0,25.0,25.0,0.0,25.0,0.0002,0.0,12.73,0.04,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,20,1789843957.552372,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.69,0.04,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,21,1789843958.552372,0.0,25.0,25.0,0.0,25.0,0.0004,0.0,12.67,0.03,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,22,1789843959.552372,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.63,0.01,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,23,1789843960.552372,0.4,25.0,25.3,0.0,25.0,0.0001,0.0,12.6,0.04,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,24,1789843961.552372,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.57,0.05,0.0,0.0,25.0,healthy,0.0
fault_combustion_instability_1,25,1789843962.552372,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.57,0.03,0.0,0.0,25.0,healthy,0.0
