mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
fault_injector_abnormality_0,0,1789843937.333009,0.0,25.0,25.07,0.0,25.0,0.0001,0.0,12.61,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,1,1789843938.333009,2.0,25.03,25.48,0.01,25.0,0.0006,0.0,12.66,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,2,1789843939.333009,0.1,25.01,25.08,0.01,25.0,0.0008,0.0,12.67,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,3,1789843940.333009,1.7,25.03,25.41,0.01,25.0,0.0007,0.0,12.65,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,4,1789843941.333009,2.0,25.05,25.7,0.02,25.01,0.0008,0.0,12.64,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,5,1789843942.333009,2.3,25.06,25.64,0.0,25.0,0.0016,0.0,12.59,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,6,1789843943.333009,3.2,25.06,25.78,0.0,25.0,0.0004,0.0,12.59,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,7,1789843944.333009,1.4,25.06,25.69,0.0,25.0,0.0007,0.0,12.59,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,8,1789843945.333009,5.0,25.03,25.56,0.0,25.0,0.0006,0.0,12.62,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,9,1789843946.333009,5.3,25.04,25.56,0.0,25.01,0.0002,0.0,12.65,0.03,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,10,1789843947.333009,4.7,25.04,25.28,0.0,25.03,0.0,0.0,12.66,0.02,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,11,1789843948.333009,0.7,25.01,25.22,0.0,25.02,0.0,0.0,12.72,0.04,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,12,1789843949.333009,1.0,25.0,25.2,0.0,25.02,0.0,0.0,12.72,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,13,1789843950.333009,0.0,25.02,25.0,0.0,25.02,0.0,0.0,12.66,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,14,1789843951.333009,1.4,25.03,25.0,0.0,25.02,0.0,0.0,12.71,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,15,1789843952.333009,0.0,25.02,25.0,0.0,25.02,0.0,0.02,12.73,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,16,1789843953.333009,0.0,25.02,25.0,0.01,25.01,0.0,0.01,12.68,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,17,1789843954.333009,0.0,25.01,25.0,0.01,25.01,0.0,0.01,12.75,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,18,1789843955.333009,0.0,25.0,25.0,0.01,25.02,0.0008,0.02,12.67,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,19,1789843956.333009,1.1,25.0,25.16,0.0,25.02,0.0,0.0,12.64,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,20,1789843957.333009,0.3,25.03,25.0,0.01,25.01,0.0,0.0,12.67,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,21,1789843958.333009,2.2,25.0,25.09,0.01,25.01,0.0,0.0,12.67,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,22,1789843959.333009,0.3,25.03,25.28,0.01,25.03,0.0007,0.02,12.64,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,23,1789843960.333009,0.0,25.02,25.61,0.0,25.02,0.0007,0.0,12.62,0.02,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,24,1789843961.333009,1.0,25.01,25.78,0.0,25.02,0.0006,0.01,12.54,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,25,1789843962.333009,1.7,25.03,25.81,0.0,25.02,0.0001,0.01,12.51,0.03,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,26,1789843963.333009,1.4,25.05,25.64,0.0,25.03,0.0001,0.02,12.57,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,27,1789843964.333009,1.2,25.02,25.99,0.01,25.02,0.0006,0.01,12.56,0.02,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,28,1789843965.333009,0.3,25.03,25.92,0.0,25.0,0.0011,0.01,12.52,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,29,1789843966.333009,2.8,25.02,26.18,0.0,25.0,0.001,0.01,12.5,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,30,1789843967.333009,1.9,25.0,26.05,0.0,25.0,0.0005,0.01,12.45,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,31,1789843968.333009,3.0,25.0,25.8,0.0,25.0,0.0001,0.01,12.45,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,32,1789843969.333009,1.0,25.0,26.26,0.0,25.0,0.0,0.02,12.37,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,33,1789843970.333009,0.4,25.01,26.17,0.0,25.0,0.0005,0.03,12.35,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,34,1789843971.333009,2.0,25.03,26.12,0.0,25.0,0.0006,0.01,12.33,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,35,1789843972.333009,1.3,25.04,26.14,0.0,25.0,0.0011,0.0,12.26,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,36,1789843973.333009,0.5,25.06,25.63,0.0,25.0,0.0,0.0,12.26,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,37,1789843974.333009,0.0,25.06,25.49,0.0,25.0,0.0,0.01,12.31,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,38,1789843975.333009,0.0,25.05,25.26,0.0,25.0,0.0,0.01,12.37,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,39,1789843976.333009,1.1,25.05,25.5,0.0,25.0,0.0,0.0,12.43,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,40,1789843977.333009,0.6,25.07,25.65,0.0,25.0,0.0008,0.0,12.34,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,41,1789843978.333009,0.0,25.06,25.73,0.0,25.0,0.001,0.0,12.37,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,42,1789843979.333009,1.2,25.03,25.13,0.0,25.0,0.0007,0.0,12.41,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,43,1789843980.333009,2.6,25.01,25.23,0.0,25.0,0.0012,0.0,12.36,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,44,1789843981.333009,0.0,25.02,25.0,0.0,25.0,0.0003,0.0,12.32,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,45,1789843982.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.33,0.02,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,46,1789843983.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.34,0.02,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,47,1789843984.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.01,12.3,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,48,1789843985.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.31,0.03,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,49,1789843986.333009,0.0,25.01,25.0,0.0,25.0,0.0,0.02,12.37,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,50,1789843987.333009,0.9,25.0,25.0,0.0,25.0,0.0,0.02,12.34,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,51,1789843988.333009,0.8,25.03,25.39,0.0,25.0,0.0,0.04,12.37,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,52,1789843989.333009,0.0,25.0,25.32,0.0,25.0,0.0,0.03,12.4,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,53,1789843990.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.01,12.37,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,54,1789843991.333009,0.0,25.0,25.3,0.01,25.0,0.0,0.0,12.32,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,55,1789843992.333009,0.0,25.02,25.09,0.01,25.0,0.0002,0.0,12.27,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,56,1789843993.333009,0.0,25.04,25.0,0.01,25.0,0.0002,0.0,12.34,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,57,1789843994.333009,0.0,25.03,25.11,0.0,25.0,0.0,0.0,12.33,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,58,1789843995.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.3,0.01,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,59,1789843996.333009,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.29,0.0,0.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,60,1789843997.333009,877.4,28.81,153.47,1.53,25.0,0.013,3.27,12.72,7.96,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,61,1789843998.333009,1342.3,32.56,252.24,1.88,25.02,0.0202,4.68,12.96,9.82,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,62,1789843999.333009,1560.1,36.28,323.52,2.06,25.46,0.0154,5.5,13.13,10.64,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,63,1789844000.333009,1699.0,40.2,385.72,2.16,25.89,0.0154,6.07,13.27,10.66,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,64,1789844001.333009,1763.8,43.88,426.81,2.24,26.28,0.0231,6.36,13.36,11.03,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,65,1789844002.333009,1799.2,47.41,455.66,2.32,26.58,0.0265,6.6,13.4,10.92,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,66,1789844003.333009,1785.4,50.3,480.5,2.32,27.05,0.0252,6.69,13.46,11.06,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,67,1789844004.333009,1819.7,53.17,495.5,2.35,27.43,0.0204,6.81,13.53,11.3,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,68,1789844005.333009,1842.6,55.84,508.22,2.4,27.61,0.0311,6.85,13.53,11.15,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,69,1789844006.333009,1836.4,58.64,520.39,2.36,27.87,0.0179,6.75,13.5,11.33,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,70,1789844007.333009,1829.1,61.24,532.69,2.35,28.21,0.0216,6.76,13.54,11.51,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,71,1789844008.333009,1831.4,63.77,534.54,2.37,28.46,0.0243,6.64,13.65,11.55,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,72,1789844009.333009,1852.7,66.17,535.67,2.37,28.88,0.0252,6.64,13.75,11.51,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,73,1789844010.333009,1843.1,68.22,539.45,2.43,29.43,0.0167,6.61,13.74,11.34,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,74,1789844011.333009,1867.5,70.47,545.8,2.44,29.7,0.0234,6.66,13.74,11.23,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,75,1789844012.333009,1856.3,72.23,551.57,2.36,29.97,0.0354,6.26,13.75,11.48,10.0,0.0,25.0,healthy,0.0
fault_injector_abnormality_0,76,1789844013.333009,1848.2,74.38,545.92,2.36,30.29,0.0379,6.23,13.71,11.51,10.0,0.0,25.0,healthy,0.0
