mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
fault_misfire_2,0,1789811964.974543,0.0,25.0,25.0,0.0,25.0,0.0007,0.0,12.55,0.03,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,1,1789811965.974543,0.5,25.02,25.0,0.0,25.01,0.0,0.01,12.59,0.04,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,2,1789811966.974543,0.0,25.03,25.0,0.0,25.0,0.0,0.01,12.61,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,3,1789811967.974543,0.0,25.04,25.0,0.0,25.0,0.0,0.01,12.65,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,4,1789811968.974543,0.0,25.06,25.0,0.0,25.0,0.0,0.02,12.64,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,5,1789811969.974543,0.0,25.08,25.0,0.0,25.0,0.0,0.01,12.69,0.05,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,6,1789811970.974543,0.0,25.09,25.0,0.0,25.0,0.0,0.01,12.65,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,7,1789811971.974543,0.0,25.04,25.0,0.0,25.0,0.0,0.0,12.57,0.04,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,8,1789811972.974543,0.0,25.06,25.0,0.0,25.0,0.0,0.01,12.53,0.04,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,9,1789811973.974543,0.0,25.08,25.0,0.0,25.0,0.0,0.01,12.51,0.02,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,10,1789811974.974543,0.0,25.07,25.25,0.0,25.0,0.0,0.01,12.49,0.02,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,11,1789811975.974543,0.0,25.04,25.41,0.0,25.0,0.0,0.02,12.51,0.02,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,12,1789811976.974543,0.0,25.02,25.34,0.0,25.0,0.0,0.0,12.48,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,13,1789811977.974543,0.0,25.01,25.0,0.0,25.0,0.0002,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,14,1789811978.974543,0.0,25.03,25.0,0.0,25.0,0.0009,0.0,12.55,0.02,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,15,1789811979.974543,0.0,25.03,25.0,0.0,25.0,0.0007,0.0,12.57,0.01,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,16,1789811980.974543,3.0,25.01,25.0,0.01,25.0,0.001,0.0,12.59,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,17,1789811981.974543,2.5,25.01,25.07,0.01,25.0,0.0017,0.0,12.61,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,18,1789811982.974543,1.9,25.02,25.41,0.01,25.0,0.0009,0.0,12.52,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,19,1789811983.974543,0.7,25.0,25.75,0.02,25.0,0.0,0.0,12.49,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,20,1789811984.974543,0.0,25.0,26.28,0.01,25.0,0.0,0.0,12.47,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,21,1789811985.974543,0.0,25.0,26.12,0.0,25.0,0.0004,0.0,12.49,0.0,0.0,0.0,25.0,healthy,0.0
fault_misfire_2,22,1789811986.974543,0.0,25.0,25.78,0.01,25.0,0.0004,0.0,12.56,0.03,0.0,0.0,25.0,healthy,0.0
