mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
fault_oil_pressure_drop_2,0,1789843936.654009,0.9,25.0,25.0,0.0,25.02,0.0,0.0,12.49,0.03,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,1,1789843937.654009,0.0,25.01,25.0,0.0,25.0,0.0,0.0,12.54,0.01,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,2,1789843938.654009,0.0,25.0,25.0,0.0,25.01,0.0,0.01,12.53,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,3,1789843939.654009,0.0,25.0,25.0,0.0,25.01,0.0,0.0,12.58,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,4,1789843940.654009,0.0,25.0,25.0,0.0,25.01,0.0001,0.01,12.48,0.01,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,5,1789843941.654009,0.0,25.0,25.0,0.0,25.01,0.0,0.0,12.55,0.02,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,6,1789843942.654009,0.0,25.0,25.0,0.0,25.02,0.0,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,7,1789843943.654009,0.0,25.0,25.0,0.0,25.03,0.0,0.0,12.54,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,8,1789843944.654009,0.0,25.0,25.0,0.0,25.03,0.0,0.01,12.58,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,9,1789843945.654009,0.0,25.0,25.0,0.0,25.04,0.0,0.0,12.63,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,10,1789843946.654009,1.5,25.0,25.0,0.0,25.04,0.0,0.0,12.65,0.02,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,11,1789843947.654009,1.3,25.0,25.0,0.0,25.03,0.0,0.0,12.67,0.01,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,12,1789843948.654009,0.8,25.0,25.0,0.0,25.02,0.0,0.0,12.66,0.01,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,13,1789843949.654009,0.1,25.0,25.0,0.01,25.03,0.0,0.0,12.69,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,14,1789843950.654009,1.6,25.0,25.02,0.01,25.02,0.0,0.0,12.68,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,15,1789843951.654009,2.9,25.0,25.08,0.01,25.02,0.0,0.0,12.68,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,16,1789843952.654009,2.1,25.0,25.0,0.01,25.01,0.0003,0.0,12.68,0.01,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,17,1789843953.654009,3.0,25.0,25.0,0.01,25.0,0.0,0.0,12.64,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,18,1789843954.654009,0.0,25.0,25.0,0.01,25.01,0.0,0.0,12.62,0.0,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,19,1789843955.654009,0.0,25.0,25.0,0.01,25.0,0.0,0.0,12.59,0.03,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,20,1789843956.654009,0.0,25.0,25.0,0.02,25.01,0.0005,0.0,12.58,0.04,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,21,1789843957.654009,0.0,25.0,25.0,0.0,25.01,0.0001,0.0,12.58,0.02,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,22,1789843958.654009,0.0,25.0,25.25,0.0,25.03,0.0,0.0,12.52,0.04,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,23,1789843959.654009,0.9,25.0,25.59,0.0,25.02,0.0,0.0,12.4,0.04,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,24,1789843960.654009,1.4,25.0,25.09,0.0,25.01,0.0,0.0,12.52,0.02,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,25,1789843961.654009,3.0,25.0,25.19,0.0,25.0,0.0,0.0,12.5,0.03,0.0,0.0,25.0,healthy,0.0
fault_oil_pressure_drop_2,26,1789843962.654009,0.0,25.0,25.0,0.0,25.0,0.0,0.0,12.57,0.01,0.0,0.0,25.0,healthy,0.0
