mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
fault_vibration_growth_1,0,1789843936.913203,0.0,25.01,25.0,0.0,25.0,0.0008,0.02,12.5,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,1,1789843937.913203,0.0,25.01,25.05,0.0,25.01,0.001,0.01,12.49,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,2,1789843938.913203,0.0,25.01,25.0,0.0,25.01,0.0,0.02,12.51,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,3,1789843939.913203,1.4,25.04,25.0,0.0,25.0,0.0,0.02,12.48,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,4,1789843940.913203,2.0,25.04,25.0,0.0,25.0,0.0001,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,5,1789843941.913203,2.9,25.01,25.0,0.0,25.0,0.0007,0.0,12.48,0.01,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,6,1789843942.913203,1.5,25.02,25.0,0.0,25.02,0.0,0.0,12.47,0.04,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,7,1789843943.913203,2.9,25.02,25.0,0.0,25.04,0.0,0.0,12.52,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,8,1789843944.913203,0.0,25.0,25.0,0.0,25.03,0.0,0.0,12.52,0.03,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,9,1789843945.913203,0.0,25.0,25.0,0.0,25.04,0.0,0.0,12.46,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,10,1789843946.913203,1.6,25.0,25.0,0.0,25.04,0.0,0.0,12.39,0.04,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,11,1789843947.913203,0.0,25.0,25.0,0.01,25.04,0.0,0.0,12.48,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,12,1789843948.913203,0.0,25.0,25.0,0.0,25.03,0.0,0.0,12.54,0.02,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,13,1789843949.913203,1.2,25.0,25.0,0.01,25.04,0.0,0.0,12.62,0.01,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,14,1789843950.913203,1.3,25.0,25.0,0.0,25.02,0.0,0.0,12.63,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,15,1789843951.913203,1.0,25.0,25.0,0.0,25.02,0.0,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,16,1789843952.913203,1.0,25.0,25.0,0.0,25.02,0.0,0.0,12.62,0.02,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,17,1789843953.913203,2.9,25.0,25.0,0.0,25.02,0.0,0.0,12.6,0.02,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,18,1789843954.913203,2.1,25.01,25.0,0.0,25.0,0.0005,0.01,12.54,0.02,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,19,1789843955.913203,1.3,25.02,25.0,0.0,25.0,0.0008,0.01,12.53,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,20,1789843956.913203,0.0,25.0,25.03,0.0,25.0,0.0005,0.01,12.52,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,21,1789843957.913203,2.0,25.0,25.0,0.0,25.0,0.0007,0.0,12.47,0.01,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,22,1789843958.913203,2.1,25.0,25.01,0.0,25.0,0.0002,0.02,12.46,0.01,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,23,1789843959.913203,2.9,25.0,25.0,0.0,25.0,0.0008,0.0,12.46,0.02,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,24,1789843960.913203,1.8,25.0,25.12,0.0,25.0,0.0011,0.01,12.47,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,25,1789843961.913203,1.4,25.0,25.47,0.0,25.0,0.0012,0.02,12.45,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,26,1789843962.913203,3.7,25.0,25.58,0.0,25.0,0.0,0.04,12.57,0.0,0.0,0.0,25.0,healthy,0.0
fault_vibration_growth_1,27,1789843963.913203,1.8,25.0,25.64,0.0,25.0,0.0,0.04,12.45,0.0,0.0,0.0,25.0,healthy,0.0
