mission_id,tick,timestamp,rpm,cht_celsius,egt_celsius,oil_pressure_bar,oil_temp_celsius,vibration,fuel_flow,battery_voltage_v,injection_timing_deg,throttle_position,altitude_m,ambient_temp_celsius,label_fault_type,label_severity
healthy_1,0,1789811964.436346,0.9,25.02,25.0,0.0,25.01,0.0,0.0,12.47,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,1,1789811965.436346,1.6,25.01,25.0,0.0,25.01,0.0001,0.0,12.62,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,2,1789811966.436346,1.7,25.01,25.0,0.0,25.01,0.0005,0.0,12.63,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,3,1789811967.436346,1.7,25.0,25.0,0.0,25.0,0.0,0.0,12.71,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,4,1789811968.436346,1.9,25.0,25.0,0.0,25.01,0.0,0.0,12.72,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,5,1789811969.436346,1.9,25.0,25.03,0.0,25.01,0.0002,0.0,12.66,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,6,1789811970.436346,2.0,25.0,25.18,0.0,25.01,0.0003,0.0,12.67,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,7,1789811971.436346,0.0,25.0,25.0,0.0,25.02,0.0001,0.0,12.57,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,8,1789811972.436346,0.0,25.0,25.0,0.0,25.01,0.0008,0.0,12.48,0.01,0.0,0.0,25.0,healthy,0.0
healthy_1,9,1789811973.436346,0.0,25.0,25.0,0.01,25.01,0.0002,0.0,12.53,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,10,1789811974.436346,0.2,25.0,25.24,0.01,25.01,0.0011,0.0,12.49,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,11,1789811975.436346,1.4,25.0,25.17,0.01,25.0,0.0009,0.0,12.44,0.03,0.0,0.0,25.0,healthy,0.0
healthy_1,12,1789811976.436346,0.8,25.0,25.21,0.0,25.0,0.0001,0.0,12.5,0.02,0.0,0.0,25.0,healthy,0.0
healthy_1,13,1789811977.436346,0.6,25.0,25.0,0.0,25.0,0.0,0.0,12.55,0.01,0.0,0.0,25.0,healthy,0.0
healthy_1,14,1789811978.436346,0.0,25.0,25.22,0.0,25.0,0.0,0.0,12.56,0.01,0.0,0.0,25.0,healthy,0.0
healthy_1,15,1789811979.436346,1.7,25.0,25.86,0.01,25.0,0.0,0.0,12.56,0.02,0.0,0.0,25.0,healthy,0.0
healthy_1,16,1789811980.436346,3.0,25.0,26.1,0.01,25.0,0.0,0.0,12.53,0.02,0.0,0.0,25.0,healthy,0.0
healthy_1,17,1789811981.436346,4.3,25.02,25.53,0.01,25.0,0.0,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,18,1789811982.436346,3.7,25.05,25.99,0.01,25.0,0.0004,0.0,12.59,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,19,1789811983.436346,3.2,25.05,25.88,0.01,25.0,0.0,0.0,12.55,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,20,1789811984.436346,0.5,25.05,25.05,0.0,25.0,0.0,0.0,12.58,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,21,1789811985.436346,0.0,25.05,25.0,0.01,25.0,0.0,0.0,12.57,0.01,0.0,0.0,25.0,healthy,0.0
healthy_1,22,1789811986.436346,0.0,25.03,25.0,0.01,25.0,0.0002,0.0,12.58,0.02,0.0,0.0,25.0,healthy,0.0
healthy_1,23,1789811987.436346,0.0,25.04,25.0,0.01,25.0,0.0001,0.01,12.6,0.01,0.0,0.0,25.0,healthy,0.0
healthy_1,24,1789811988.436346,0.4,25.06,25.0,0.0,25.0,0.0005,0.01,12.56,0.01,0.0,0.0,25.0,healthy,0.0
healthy_1,25,1789811989.436346,1.7,25.05,25.0,0.0,25.0,0.0,0.0,12.53,0.0,0.0,0.0,25.0,healthy,0.0
healthy_1,26,1789811990.436346,2.3,25.02,25.0,0.0,25.0,0.0,0.0,12.58,0.02,0.0,0.0,25.0,healthy,0.0
healthy_1,27,1789811991.436346,2.9,25.04,25.0,0.0,25.0,0.0,0.01,12.64,0.0,0.0,0.0,25.0,healthy,0.0
