unit,cycle,Nc,NRc,T50,T30,htBleed,P30,phi,T24,Ps30,W31,W32,NRf,Nf,BPR,RUL
1,1,9046.19,8138.62,1400.6,1589.7,392,554.36,521.66,641.82,47.47,39.06,23.419,2388.02,2388.06,8.4195,125
1,2,9044.07,8131.49,1403.14,1591.82,392,553.75,522.28,642.15,47.49,39.0,23.4236,2388.07,2388.04,8.4318,125
1,3,9052.94,8133.23,1404.2,1587.99,390,554.26,522.42,642.35,47.27,38.95,23.3442,2388.03,2388.08,8.4178,125
1,4,9049.48,8133.83,1401.87,1582.79,392,554.45,522.86,642.35,47.13,38.88,23.3739,2388.08,2388.11,8.3682,125
1,5,9055.15,8133.8,1406.22,1582.85,393,554.0,522.19,642.37,47.28,38.9,23.4044,2388.04,2388.06,8.4294,125
1,6,9049.68,8132.85,1398.37,1584.47,391,554.67,521.68,642.1,47.16,38.98,23.3669,2388.03,2388.02,8.4108,125
1,7,9059.13,8132.32,1397.77,1592.32,392,554.34,522.32,642.48,47.36,39.1,23.3774,2388.03,2388.02,8.3974,125
1,8,9040.8,8131.07,1400.97,1582.96,391,553.85,522.47,642.56,47.24,38.97,23.3106,2388.03,2388.0,8.4076,125
1,9,9046.46,8125.69,1394.8,1590.98,392,553.69,521.79,642.12,47.29,39.05,23.4066,2388.05,2388.05,8.3728,125
1,10,9051.7,8129.38,1400.46,1591.24,393,553.59,521.79,641.71,47.03,38.95,23.4694,2388.06,2388.05,8.4286,125
1,11,9049.61,8140.58,1400.64,1581.75,392,554.54,521.4,642.28,47.15,38.94,23.4787,2388.01,2388.05,8.434,125
1,12,9049.37,8134.25,1400.15,1583.41,391,554.52,521.8,642.06,47.18,39.06,23.366,2388.02,2388.09,8.3938,125
1,13,9046.82,8128.1,1400.83,1582.19,393,553.44,521.85,643.07,47.38,38.93,23.2757,2388.08,2388.12,8.4152,125
1,14,9047.37,8134.43,1399.16,1592.95,393,554.48,521.67,642.35,47.44,39.18,23.3826,2388.0,2388.09,8.3964,125
1,15,9052.22,8127.56,1402.13,1583.82,391,553.64,522.5,642.43,47.3,38.99,23.35,2388.08,2388.11,8.4199,125
